Kelime,Kullanım sıklığı
marmaray,21
nedeniyle,21
üzücü,19
meydana,16
gecikmeli,16
tek,16
olay,15
istasyonunda,14
gelen,14
yapılmaktadır,11
hat,11
seferleri,11
işletilmekte,10
arasında,10
üzerinden,9
trenlerimiz,9
istasyonları,9
intihar,6
ayrılıkçeşmesi,5
yaşanan,5
yenikapı,4
seferlerimiz,4
hattan,4
yolcularımız,4
sayın,4
girişimi,3
bostancı,3
etmektedir,3
devam,3
seferlerimizde,2
aksamalar,2
işletildiğinden,2
arası,2
feneryolu,2
hatta,2
trenler,2
durağında,2
vakası,2
işlemektedir,2
istasyonu,2
savcılığının,1
normale,1
ardından,1
incelemesinin,1
yeri,1
kalmış,1
tuzla,1
cumhuriyet,1
gelmiştir,1
sevk,1
işlemleri,1
trenlerimizde,1
gecikmeler,1
dönmüştür,1
gebzeiçmeler,1
1318,1
gelmektedir,1
merhaba,1
bugün,1
işletmeciliğimizde,1
hastaneye,1
zeytinburnuyenikapı,1
vatandaşın,1
kurtarılmıştır,1
yaralı,1
üzerinde,1
şahıs,1
trenimiz,1
yolcularımıza,1
1818,1
üsküdar,1
ataköy,1
söğütlüçeşmegöztepe,1
1620de,1
sıralarında,1
1530,1
1110da,1
kazlıçeşme,1
erenköymaltepe,1
olayı,1
1326da,1
1219da,1
yenikapıda,1
0823te,1
1530da,1
florya,1
akvaryumzeytinburnu,1
olup,1
önemle,1
duyurulur,1
kazlıçeşmeüsküdar,1
hizmet,1
verememektedir,1
1847de,1
üsküdarfeneryolu,1
sirkeciayrılıkçeşmesi,1
zeytinburnu,1
yeşilköyzeytinburnu,1
2138de,1
feneryolugöztepe,1
yeşilyurt,1
yeşilyurtataköy,1
yaşanmıştır,1